component,field,target_class,ngh_class,source_asset,source_path,target_path,source_sha256,target_sha256_before,status_before,status_after,target_sha256_after
HabboCatalogCom,layout_petcustomization,HabboCatalogCom_layout_petcustomization,class_339,1470_class_339.bin,C:\habbo\client\habbo-client-ngh\binaryData\1470_class_339.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_petcustomization.bin,c21be31173391d07447c7618fcecd8bfee6d3f0e460a02331e9c6c657a6e2c69,c21be31173391d07447c7618fcecd8bfee6d3f0e460a02331e9c6c657a6e2c69,identical,identical,c21be31173391d07447c7618fcecd8bfee6d3f0e460a02331e9c6c657a6e2c69
HabboCatalogCom,layout_pets2,HabboCatalogCom_layout_pets2,HabboCatalogCom_layout_pets2,2107_HabboCatalogCom_layout_pets2.bin,C:\habbo\client\habbo-client-ngh\binaryData\2107_HabboCatalogCom_layout_pets2.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_pets2.bin,00a32b9be11bd618255a36372f807675e6626eb6a35aea96cf5df7331503a39b,38274a4b50bb0f477427204b2637ad91b96beda87529eb08e52d188513f89432,different,copied,00a32b9be11bd618255a36372f807675e6626eb6a35aea96cf5df7331503a39b
HabboCatalogCom,layout_pets3,HabboCatalogCom_layout_pets3,HabboCatalogCom_layout_pets3,2109_HabboCatalogCom_layout_pets3.bin,C:\habbo\client\habbo-client-ngh\binaryData\2109_HabboCatalogCom_layout_pets3.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_pets3.bin,775bac936da7cfb4c902d9a1e3edf256dd604fc5d9356f63a0ee85ae4df33192,e6fd42c3dd0dab7f7940cabd7f49ad4b15d90914349873c5ab69ea8bf0d8f7e8,different,copied,775bac936da7cfb4c902d9a1e3edf256dd604fc5d9356f63a0ee85ae4df33192
HabboCatalogCom,layout_pets,HabboCatalogCom_layout_pets,class_366,2476_class_366.bin,C:\habbo\client\habbo-client-ngh\binaryData\2476_class_366.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_pets.bin,f121b26725e7c18bf787784e4cc8203845d5445f0c0391e614b31e42fdb0e8f3,6d957cc846b850a1e5b0bc6cde637e394b1b7a248ca1c13af7944592da2b4529,different,copied,f121b26725e7c18bf787784e4cc8203845d5445f0c0391e614b31e42fdb0e8f3
HabboCatalogCom,layout_roomads,HabboCatalogCom_layout_roomads,class_277,467_class_277.bin,C:\habbo\client\habbo-client-ngh\binaryData\467_class_277.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_roomads.bin,8a19d5e532c6c0c66c241cbe73b53f5c69315f65f2d249e151f533def1c76431,aa3fe022a4c26d85b4ede1b15f00ab161e5442e2f63ab17a54ee5028b1e5ae58,different,copied,8a19d5e532c6c0c66c241cbe73b53f5c69315f65f2d249e151f533def1c76431
HabboCatalogCom,layout_recycler_info,HabboCatalogCom_layout_recycler_info,class_249,1520_class_249.bin,C:\habbo\client\habbo-client-ngh\binaryData\1520_class_249.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_recycler_info.bin,8fcf9ecd2aeceb687ace3a43109d4c98ee3f27f30b71f2d3132685a2be66ae86,6cd1443a67d165939282f3ebe8240c624657bd0a9e6c7d3ce36059cc71cf9614,different,copied,8fcf9ecd2aeceb687ace3a43109d4c98ee3f27f30b71f2d3132685a2be66ae86
HabboCatalogCom,layout_recycler_prizes,HabboCatalogCom_layout_recycler_prizes,class_292,664_class_292.bin,C:\habbo\client\habbo-client-ngh\binaryData\664_class_292.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_recycler_prizes.bin,ab0d254f1224305c0e1da0a73dba578d3276449cd511926294717d710fe6c3ae,ca1f990c4e1f00aaf7a9bcae44bb2995d7521948f5f9515a405027963fdb819e,different,copied,ab0d254f1224305c0e1da0a73dba578d3276449cd511926294717d710fe6c3ae
HabboCatalogCom,layout_recycler,HabboCatalogCom_layout_recycler,class_342,2324_class_342.bin,C:\habbo\client\habbo-client-ngh\binaryData\2324_class_342.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_recycler.bin,0113fd5bb702692b0fd9659012cf1cf7977b805ee3ac3f60e34694d382744682,cd2b93adb7474321cb8acd01cc2e65b7e71b86116624cb77352e90d4f7b700be,different,copied,0113fd5bb702692b0fd9659012cf1cf7977b805ee3ac3f60e34694d382744682
HabboCatalogCom,layout_soundmachine,HabboCatalogCom_layout_soundmachine,class_308,2179_class_308.bin,C:\habbo\client\habbo-client-ngh\binaryData\2179_class_308.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_soundmachine.bin,ffe14ae3078c5c9af0ec74aa6e403fc03acb0cffbe0f23ba4446b7023b375e60,f608612d12efdfa97ed23de4aa174cb91901479d05f453a09bda488cdb249545,different,copied,ffe14ae3078c5c9af0ec74aa6e403fc03acb0cffbe0f23ba4446b7023b375e60
HabboCatalogCom,layout_spaces_new,HabboCatalogCom_layout_spaces_new,class_270,1236_class_270.bin,C:\habbo\client\habbo-client-ngh\binaryData\1236_class_270.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_spaces_new.bin,996c1292ba7dec532e9f56fa48a32d2fcdd00d1dec6dcd4369f204b72009e863,bcbc34b4b22bf328ad9d7c44a40e474d4f64f7ba4bce916a6e1aba24df41ae25,different,copied,996c1292ba7dec532e9f56fa48a32d2fcdd00d1dec6dcd4369f204b72009e863
HabboCatalogCom,layout_trophies,HabboCatalogCom_layout_trophies,class_392,1882_class_392.bin,C:\habbo\client\habbo-client-ngh\binaryData\1882_class_392.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_trophies.bin,8eed13cfa77213c6731f545b9ce88acb7ae881f9c6a2fad9a9cac273e603b401,c7c46db2c4da1a2108716b2daae12a27af80cda1df319131bf0c86b42036a5c7,different,copied,8eed13cfa77213c6731f545b9ce88acb7ae881f9c6a2fad9a9cac273e603b401
HabboCatalogCom,layout_vip_buy,HabboCatalogCom_layout_vip_buy,class_244,1667_class_244.bin,C:\habbo\client\habbo-client-ngh\binaryData\1667_class_244.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_vip_buy.bin,cdfd044ad9a164001d2763dce8a775411e0ef77e04416d72b00e89816d714aba,5f2ce43adc8326655cb47701cf027e1952b634f03dadb31c154023d631ead124,different,copied,cdfd044ad9a164001d2763dce8a775411e0ef77e04416d72b00e89816d714aba
HabboCatalogCom,layout_guild_custom_furni,HabboCatalogCom_layout_guild_custom_furni,class_390,1354_class_390.bin,C:\habbo\client\habbo-client-ngh\binaryData\1354_class_390.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_guild_custom_furni.bin,fd2100a114b7840b5d61cb55ee12949ad412e3f9305938bae385664eb8cb9c3e,faad14191b9bafb550011528bbd6979e468848681a2e03784e612bb21fbb7092,different,copied,fd2100a114b7840b5d61cb55ee12949ad412e3f9305938bae385664eb8cb9c3e
HabboCatalogCom,layout_guild_frontpage,HabboCatalogCom_layout_guild_frontpage,class_269,930_class_269.bin,C:\habbo\client\habbo-client-ngh\binaryData\930_class_269.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_layout_guild_frontpage.bin,99686eae3a95cd6fdbbb2374fa540049cb531f2bac14753e09db66383100dde9,91219a5c1ed3ea9d025b44756262e6f6ad0868a916cb0873926c05d2875dc045,different,copied,99686eae3a95cd6fdbbb2374fa540049cb531f2bac14753e09db66383100dde9
